time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-10 00:00:00+00:00,3,2,1.0,1.0
2024-12-11 00:00:00+00:00,1,1,,
2024-12-12 00:00:00+00:00,2,2,,
2024-12-13 00:00:00+00:00,1,1,,
2024-12-14 00:00:00+00:00,2,2,,
2024-12-15 00:00:00+00:00,9,4,12.0,1.0
2024-12-16 00:00:00+00:00,9,3,9.0,1.0
2024-12-17 00:00:00+00:00,6,4,3.0,2.0
2024-12-18 00:00:00+00:00,2,2,,
2024-12-19 00:00:00+00:00,12,3,,
2024-12-20 00:00:00+00:00,8,3,,
2024-12-21 00:00:00+00:00,22,9,1.0,1.0
2024-12-22 00:00:00+00:00,8,4,,
2024-12-23 00:00:00+00:00,3,1,,
