time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-26 00:00:00+00:00,42,12,0,0
2026-04-27 00:00:00+00:00,12,6,0,0
2026-04-28 00:00:00+00:00,28,8,5,1
2026-04-29 00:00:00+00:00,21,7,1,1
2026-04-30 00:00:00+00:00,21,6,0,0
2026-05-01 00:00:00+00:00,25,7,0,0
2026-05-02 00:00:00+00:00,20,6,0,0
2026-05-03 00:00:00+00:00,40,13,0,0
2026-05-04 00:00:00+00:00,18,7,0,0
2026-05-05 00:00:00+00:00,33,8,0,0
2026-05-06 00:00:00+00:00,16,6,0,0
2026-05-07 00:00:00+00:00,5,5,0,0
2026-05-08 00:00:00+00:00,50,7,0,0
2026-05-09 00:00:00+00:00,10,5,0,0
