time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-20 00:00:00+00:00,45,12,0,0
2026-06-21 00:00:00+00:00,35,12,0,0
2026-06-22 00:00:00+00:00,34,10,0,0
2026-06-23 00:00:00+00:00,66,16,1,1
2026-06-24 00:00:00+00:00,10,6,0,0
2026-06-25 00:00:00+00:00,19,5,1,1
2026-06-26 00:00:00+00:00,31,12,2,1
2026-06-27 00:00:00+00:00,15,5,0,0
2026-06-28 00:00:00+00:00,1,1,0,0
2026-06-29 00:00:00+00:00,23,9,2,1
2026-06-30 00:00:00+00:00,3,3,0,0
2026-07-01 00:00:00+00:00,10,5,0,0
2026-07-02 00:00:00+00:00,33,18,0,0
2026-07-03 00:00:00+00:00,7,2,0,0
