url_path,views_total,views_unique
/cschu/gff_quantifier,30,8
/cschu/gff_quantifier/issues,24,4
/cschu/gff_quantifier/issues/57,21,3
/cschu/gff_quantifier/tree/v.1.5.0/gffquant,4,1
/cschu/gff_quantifier/blob/v.1.5.0/gffquant/bamreader.py,3,1
/cschu/gff_quantifier/tree/v2.9.1/gffquant,3,1
/cschu/gff_quantifier/tree/v.2.9.8,3,1
/cschu/gff_quantifier/tree/v.2.9.8/gffquant/db,3,1
/cschu/gff_quantifier/blob/v.1.5.0/gffquant/feature_quantifier.py,2,1
/cschu/gff_quantifier/blob/v.1.5.0/gffquant/__main__.py,2,1
