url_path,views_total,views_unique
/cschu/gff_quantifier,26,16
/cschu/gff_quantifier/issues,7,3
/cschu/gff_quantifier/tree/main/gffquant,5,2
/cschu/gff_quantifier/tree/main/gffquant/db,4,2
/cschu/gff_quantifier/tree/main/gffquant/db/models,3,2
/cschu/gff_quantifier/blob/main/gffquant/annotation/count_annotator.py,2,2
/cschu/gff_quantifier/blob/main/gffquant/db/models/db.py,2,2
/cschu/gff_quantifier/issues/2,2,2
/cschu/gff_quantifier/tree/main/gffquant/annotation,2,2
/cschu/gff_quantifier/issues/8,2,1
