time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-16 00:00:00+00:00,2,2,1.0,1.0
2025-10-17 00:00:00+00:00,9,4,,
2025-10-18 00:00:00+00:00,8,3,,
2025-10-19 00:00:00+00:00,11,5,,
2025-10-20 00:00:00+00:00,23,8,1.0,1.0
2025-10-21 00:00:00+00:00,16,6,,
2025-10-22 00:00:00+00:00,11,6,2.0,1.0
2025-10-23 00:00:00+00:00,21,10,,
2025-10-24 00:00:00+00:00,3,3,,
2025-10-25 00:00:00+00:00,15,5,,
2025-10-26 00:00:00+00:00,2,2,,
2025-10-27 00:00:00+00:00,13,8,,
2025-10-28 00:00:00+00:00,6,6,,
2025-10-29 00:00:00+00:00,1,1,,
