time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-13 00:00:00+00:00,21,6,1,1
2026-04-14 00:00:00+00:00,33,10,0,0
2026-04-15 00:00:00+00:00,20,7,0,0
2026-04-16 00:00:00+00:00,38,10,0,0
2026-04-17 00:00:00+00:00,10,4,0,0
2026-04-18 00:00:00+00:00,11,6,0,0
2026-04-19 00:00:00+00:00,27,11,1,1
2026-04-20 00:00:00+00:00,51,22,5,1
2026-04-21 00:00:00+00:00,48,23,5,2
2026-04-22 00:00:00+00:00,103,32,1,1
2026-04-23 00:00:00+00:00,73,25,0,0
2026-04-24 00:00:00+00:00,68,24,0,0
2026-04-25 00:00:00+00:00,53,20,0,0
2026-04-26 00:00:00+00:00,42,12,0,0
