url_path,views_total,views_unique
/cschu/gff_quantifier,10,4
/cschu/gff_quantifier/commit/9e063dd2983f0a7a58ff0c6d034b367b9ff0003e,5,1
/cschu/gff_quantifier/commit/4feec2911ce2eee7b13bc92435d625f266969fa1,3,1
/cschu/gff_quantifier/issues,3,1
/cschu/gff_quantifier/tags,2,1
/cschu/gff_quantifier/actions/runs/13399458528/job/37426519128,1,1
/cschu/gff_quantifier/commit/25659b5e84bb4da7434f6f4eba95e38635e56e66,1,1
/cschu/gff_quantifier/commit/95aff48adf948ddbee4103d348dcfb85fb79b12c,1,1
/cschu/gff_quantifier/commit/c8eec349c7eb1c3c3671efd13f75a99203f19ed5,1,1
/cschu/gff_quantifier/commit/e2389fe818db12bb9cf980bce55353fd53017c47,1,1
