time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-14 00:00:00+00:00,8,4,0,0
2026-02-15 00:00:00+00:00,8,4,0,0
2026-02-16 00:00:00+00:00,12,7,0,0
2026-02-17 00:00:00+00:00,11,6,0,0
2026-02-18 00:00:00+00:00,5,4,0,0
2026-02-19 00:00:00+00:00,10,5,0,0
2026-02-20 00:00:00+00:00,12,6,0,0
2026-02-21 00:00:00+00:00,53,9,0,0
2026-02-22 00:00:00+00:00,6,4,0,0
2026-02-23 00:00:00+00:00,13,7,1,1
2026-02-24 00:00:00+00:00,3,3,3,1
2026-02-25 00:00:00+00:00,14,8,0,0
2026-02-26 00:00:00+00:00,15,7,1,1
2026-02-27 00:00:00+00:00,16,7,0,0
