time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-17 00:00:00+00:00,10,4,0,0
2026-04-18 00:00:00+00:00,11,6,0,0
2026-04-19 00:00:00+00:00,27,11,1,1
2026-04-20 00:00:00+00:00,51,22,5,1
2026-04-21 00:00:00+00:00,48,23,5,2
2026-04-22 00:00:00+00:00,103,32,1,1
2026-04-23 00:00:00+00:00,73,25,0,0
2026-04-24 00:00:00+00:00,68,24,0,0
2026-04-25 00:00:00+00:00,53,20,0,0
2026-04-26 00:00:00+00:00,42,12,0,0
2026-04-27 00:00:00+00:00,12,6,0,0
2026-04-28 00:00:00+00:00,28,8,5,1
2026-04-29 00:00:00+00:00,21,7,1,1
2026-04-30 00:00:00+00:00,21,6,0,0
