url_path,views_total,views_unique
/cschu/gff_quantifier,10,4
/cschu/gff_quantifier/commits/main,5,1
/cschu/gff_quantifier/tree/main/gffquant,3,1
/cschu/gff_quantifier/blob/main/Dockerfile,2,1
/cschu/gff_quantifier/blob/main/gffquant/bin/build_custom_database.py,2,1
/cschu/gff_quantifier/blob/main/gffquant/db/importers/custom_database_importer.py,2,1
/cschu/gff_quantifier/commit/439b620c6b910845a1c49d57c4db1c732a44cd64,2,1
/cschu/gff_quantifier/commit/6c49d968102a1db56769493d67566e8c2b550bbc,2,1
/cschu/gff_quantifier/tree/main/gffquant/bin,2,1
/cschu/gff_quantifier/tree/main/gffquant/db,2,1
