time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-10 00:00:00+00:00,18,6,1,1
2026-09-11 00:00:00+00:00,5,5,0,0
2026-09-12 00:00:00+00:00,2,2,1,1
2026-09-13 00:00:00+00:00,21,13,0,0
2026-09-14 00:00:00+00:00,30,17,0,0
2026-09-15 00:00:00+00:00,12,12,0,0
2026-09-16 00:00:00+00:00,25,11,0,0
2026-09-17 00:00:00+00:00,23,12,0,0
2026-09-18 00:00:00+00:00,20,10,1,1
2026-09-19 00:00:00+00:00,22,15,0,0
2026-09-20 00:00:00+00:00,3,3,0,0
2026-09-21 00:00:00+00:00,15,8,0,0
2026-09-22 00:00:00+00:00,3,2,1,1
2026-09-23 00:00:00+00:00,26,13,1,1
