time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-02 00:00:00+00:00,20,6,0,0
2026-05-03 00:00:00+00:00,40,13,0,0
2026-05-04 00:00:00+00:00,18,7,0,0
2026-05-05 00:00:00+00:00,33,8,0,0
2026-05-06 00:00:00+00:00,16,6,0,0
2026-05-07 00:00:00+00:00,5,5,0,0
2026-05-08 00:00:00+00:00,50,7,0,0
2026-05-09 00:00:00+00:00,10,5,0,0
2026-05-10 00:00:00+00:00,37,11,13,1
2026-05-11 00:00:00+00:00,75,15,5,2
2026-05-12 00:00:00+00:00,45,18,2,2
2026-05-13 00:00:00+00:00,39,11,3,1
2026-05-14 00:00:00+00:00,16,7,1,1
2026-05-15 00:00:00+00:00,43,9,2,1
