url_path,views_total,views_unique
/cschu/gff_quantifier/tree/github-repo-stats/cschu/gff_quantifier,4,1
/cschu/gff_quantifier/tree/github-repo-stats/cschu/gff_quantifier/ghrs-data,4,1
/cschu/gff_quantifier/tree/github-repo-stats/cschu/gff_quantifier/ghrs-data/snapshots,4,1
/cschu/gff_quantifier,3,2
/cschu/gff_quantifier/blob/github-repo-stats/cschu/gff_quantifier/ghrs-data/forks.csv,2,1
/cschu/gff_quantifier/blob/github-repo-stats/cschu/gff_quantifier/ghrs-data/snapshots/2024-05-28_230805_top_paths_snapshot.csv,2,1
/cschu/gff_quantifier/blob/github-repo-stats/cschu/gff_quantifier/ghrs-data/snapshots/2024-05-28_230805_top_referrers_snapshot.csv,2,1
/cschu/gff_quantifier/blob/github-repo-stats/cschu/gff_quantifier/ghrs-data/views_clones_aggregate.csv,2,1
/cschu/gff_quantifier/blob/github-repo-stats/cschu/gff_quantifier/latest-report/report.md,2,1
/cschu/gff_quantifier/tree/github-repo-stats/cschu/gff_quantifier/latest-report,2,1
