time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-13 00:00:00+00:00,18,8,0,0
2026-06-14 00:00:00+00:00,22,6,0,0
2026-06-15 00:00:00+00:00,23,9,0,0
2026-06-16 00:00:00+00:00,17,7,0,0
2026-06-17 00:00:00+00:00,19,6,0,0
2026-06-18 00:00:00+00:00,14,5,0,0
2026-06-19 00:00:00+00:00,40,11,0,0
2026-06-20 00:00:00+00:00,45,12,0,0
2026-06-21 00:00:00+00:00,35,12,0,0
2026-06-22 00:00:00+00:00,34,10,0,0
2026-06-23 00:00:00+00:00,66,16,1,1
2026-06-24 00:00:00+00:00,10,6,0,0
2026-06-25 00:00:00+00:00,19,5,1,1
2026-06-26 00:00:00+00:00,31,12,2,1
